@relation R_data_frame

@attribute heat numeric
@attribute Attribute2 {nominal3,nominal4}
@attribute Attribute3 {nominal10,nominal11,nominal12,nominal13,nominal14,nominal15,nominal16,nominal17,nominal18,nominal19,nominal20,nominal5,nominal6,nominal7,nominal8,nominal9}
@attribute Attribute4 {nominal21,nominal22,nominal23,nominal24}
@attribute Attribute5 numeric
@attribute Attribute6 numeric
@attribute Attribute7 numeric
@attribute Attribute8 numeric
@attribute Attribute9 numeric
@attribute Attribute10 numeric
@attribute Attribute11 numeric
@attribute Attribute12 numeric

@data
4.41,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,1500
5.1,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,1500
5.87,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,1500
6.71,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,1500
7.63,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,1500
8.62,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,1500
9.69,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,1500
10.83,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,1500
12.04,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,1500
13.33,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,1500
14.7,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,1500
16.13,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,1500
17.64,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,1500
19.22,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,1500
20.88,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,1500
22.63,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,1500
24.43,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,1500
26.31,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,1500
28.27,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,1500
30.31,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,1500
32.41,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,1500
34.59,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,1500
36.85,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,1500
5.17,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,2000
5.79,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,2000
6.5,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,2000
7.29,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,2000
8.16,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,2000
9.11,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,2000
10.14,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,2000
11.26,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,2000
12.46,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,2000
13.75,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,2000
15.11,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,2000
16.56,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,2000
18.1,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,2000
19.71,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,2000
21.41,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,2000
23.19,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,2000
25.04,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,2000
26.99,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,2000
29.02,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,2000
31.12,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,2000
33.32,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,2000
35.59,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,2000
37.94,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,2000
40.38,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,2000
42.9,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,2000
7.53,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,2500
8.27,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,2500
9.1,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,2500
10.02,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,2500
11.02,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,2500
12.13,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,2500
13.31,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,2500
14.59,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,2500
15.95,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,2500
17.41,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,2500
18.94,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,2500
20.57,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,2500
22.29,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,2500
24.1,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,2500
25.99,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,2500
27.98,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,2500
30.06,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,2500
32.22,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,2500
34.48,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,2500
36.81,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,2500
39.24,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,2500
41.76,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,2500
44.37,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,2500
47.07,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,2500
49.86,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,2500
10.33,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,3000
11.23,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,3000
12.21,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,3000
13.31,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,3000
14.48,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,3000
15.75,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,3000
17.12,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,3000
18.58,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,3000
20.13,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,3000
21.77,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,3000
23.51,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,3000
25.35,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,3000
27.27,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,3000
29.29,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,3000
31.41,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,3000
33.61,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,3000
35.92,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,3000
38.31,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,3000
40.8,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,3000
43.37,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,3000
46.05,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,3000
48.82,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,3000
51.69,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,3000
54.64,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,3000
57.69,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,3000
13.57,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,3500
14.66,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,3500
15.85,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,3500
17.14,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,3500
18.51,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,3500
19.99,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,3500
21.58,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,3500
23.24,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,3500
25.01,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,3500
26.87,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,3500
28.83,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,3500
30.88,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,3500
33.04,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,3500
35.29,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,3500
37.64,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,3500
40.08,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,3500
42.62,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,3500
45.25,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,3500
47.99,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,3500
50.82,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,3500
53.74,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,3500
56.77,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,3500
59.88,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,3500
63.1,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,3500
66.41,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,3500
17.25,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,4000
18.57,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,4000
19.99,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,4000
21.51,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,4000
23.13,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,4000
24.86,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,4000
26.67,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,4000
28.58,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,4000
30.58,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,4000
32.7,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,4000
34.89,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,4000
37.2,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,4000
39.6,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,4000
42.1,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,4000
44.69,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,4000
47.38,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,4000
50.18,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,4000
53.06,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,4000
56.05,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,4000
59.14,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,4000
62.32,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,4000
65.6,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,4000
68.98,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,4000
72.45,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,4000
76.03,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,4000
21.35,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,4500
22.95,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,4500
24.64,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,4500
26.45,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,4500
28.33,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,4500
30.31,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,4500
32.4,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,4500
34.58,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,4500
36.86,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,4500
39.23,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,4500
41.7,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,4500
44.28,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,4500
46.94,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,4500
49.71,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,4500
52.57,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,4500
55.53,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,4500
58.59,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,4500
61.74,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,4500
64.99,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,4500
68.34,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,4500
71.78,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,4500
75.32,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,4500
78.95,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,4500
82.69,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,4500
86.53,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,4500
25.91,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0,5000
27.82,nominal3,nominal5,nominal21,1997,84,87,4,105,130,0.5,5000
29.82,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1,5000
31.92,nominal3,nominal5,nominal21,1997,84,87,4,105,130,1.5,5000
34.11,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2,5000
36.4,nominal3,nominal5,nominal21,1997,84,87,4,105,130,2.5,5000
38.78,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3,5000
41.26,nominal3,nominal5,nominal21,1997,84,87,4,105,130,3.5,5000
43.84,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4,5000
46.5,nominal3,nominal5,nominal21,1997,84,87,4,105,130,4.5,5000
49.27,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5,5000
52.12,nominal3,nominal5,nominal21,1997,84,87,4,105,130,5.5,5000
55.07,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6,5000
58.12,nominal3,nominal5,nominal21,1997,84,87,4,105,130,6.5,5000
61.26,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7,5000
64.51,nominal3,nominal5,nominal21,1997,84,87,4,105,130,7.5,5000
67.84,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8,5000
71.27,nominal3,nominal5,nominal21,1997,84,87,4,105,130,8.5,5000
74.78,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9,5000
78.41,nominal3,nominal5,nominal21,1997,84,87,4,105,130,9.5,5000
82.12,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10,5000
85.92,nominal3,nominal5,nominal21,1997,84,87,4,105,130,10.5,5000
89.82,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11,5000
93.83,nominal3,nominal5,nominal21,1997,84,87,4,105,130,11.5,5000
97.92,nominal3,nominal5,nominal21,1997,84,87,4,105,130,12,5000
0.19,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,0,100
0.77,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,0.5,100
1.38,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,1,100
2.04,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,1.5,100
2.75,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,2,100
3.51,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,2.5,100
4.31,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,3,100
5.15,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,3.5,100
6.05,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,4,100
6.99,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,4.5,100
7.97,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,5,100
9.01,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,5.5,100
10.07,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,6,100
11.2,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,6.5,100
12.36,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,7,100
13.58,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,7.5,100
14.84,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,8,100
16.14,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,8.5,100
17.49,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,9,100
18.88,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,9.5,100
20.33,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,10,100
21.82,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,10.5,100
23.35,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,11,100
24.93,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,11.5,100
26.56,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,12,100
1.89,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,0,1000
2.44,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,0.5,1000
3.05,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,1,1000
3.74,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,1.5,1000
4.49,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,2,1000
5.31,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,2.5,1000
6.2,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,3,1000
7.16,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,3.5,1000
8.2,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,4,1000
9.3,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,4.5,1000
10.47,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,5,1000
11.71,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,5.5,1000
13.02,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,6,1000
14.4,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,6.5,1000
15.85,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,7,1000
17.37,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,7.5,1000
18.96,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,8,1000
20.62,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,8.5,1000
22.34,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,9,1000
24.14,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,9.5,1000
26.01,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,10,1000
27.95,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,10.5,1000
29.96,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,11,1000
32.03,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,11.5,1000
34.18,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,12,1000
3.5,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,0,1500
4.09,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,0.5,1500
4.76,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,1,1500
5.5,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,1.5,1500
6.33,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,2,1500
7.24,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,2.5,1500
8.23,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,3,1500
9.3,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,3.5,1500
10.45,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,4,1500
11.68,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,4.5,1500
12.98,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,5,1500
14.38,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,5.5,1500
15.85,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,6,1500
17.4,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,6.5,1500
19.03,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,7,1500
20.73,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,7.5,1500
22.53,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,8,1500
24.41,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,8.5,1500
26.35,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,9,1500
28.39,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,9.5,1500
30.5,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,10,1500
32.69,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,10.5,1500
34.97,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,11,1500
37.31,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,11.5,1500
39.75,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,12,1500
5.57,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,0,2000
6.24,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,0.5,2000
7.01,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,1,2000
7.86,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,1.5,2000
8.8,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,2,2000
9.83,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,2.5,2000
10.94,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,3,2000
12.15,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,3.5,2000
13.45,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,4,2000
14.84,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,4.5,2000
16.3,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,5,2000
17.87,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,5.5,2000
19.53,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,6,2000
21.26,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,6.5,2000
23.09,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,7,2000
25.01,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,7.5,2000
27.02,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,8,2000
29.12,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,8.5,2000
31.3,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,9,2000
33.57,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,9.5,2000
35.94,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,10,2000
38.39,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,10.5,2000
40.93,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,11,2000
43.56,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,11.5,2000
46.28,nominal3,nominal5,nominal21,2299,92.4,89,4,105,130,12,2000
